UserID,priority
8706,2
8709,2
8718,2
8723,2
8738,2
8739,2
8741,2
8747,2
8748,2
8769,2
8772,2
8774,2
8787,2
8797,2
8821,2
8823,2
8831,2
8844,2
8864,2
8922,2
8939,2
8963,2
8979,2
9097,2
9103,2
9190,2
9201,2
9213,2
9214,2
9263,2
9294,2
9343,2
9382,2
9388,2
9449,2
9497,2
9522,2
9523,2
9532,2
9551,2
9590,2
9591,2
9608,2
9637,2
9651,2
9683,2
9814,2
9833,2
9839,2
9851,2
9857,2
9861,2
9874,2
9891,2
9911,2
9923,2
10001,2
10002,2
10039,2
10067,2
10075,2
10107,2
10142,2
10146,2
10152,2
10153,2
10158,2
10167,2
10173,2
10174,2
10176,2
10182,2
10184,2
10190,2
10192,2
10196,2
10206,2
10218,2
10220,2
10222,2
10233,2
10245,2
10248,2
10251,2
10264,2
10270,2
10274,2
